epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.50275;0.5027499403953553;8.003558621724446;0.50275;0.50275;0.500625;0.5006249403953552;8.048973989486694;0.500625;0.500625
0;0.5011666666666666;0.5011666070620219;8.03445147864024;0.5011666666666666;0.5011666666666666;0.50375;0.5037499403953553;7.998604860305786;0.50375;0.50375
1;0.4965;0.4964999403953552;8.115461103439332;0.4965;0.4965;0.496875;0.49687494039535524;8.109416790008545;0.496875;0.496875
2;0.5024166666666666;0.5024166070620218;8.020095690409342;0.5024166666666666;0.5024166666666666;0.495625;0.4956249403953552;8.129564423561096;0.495625;0.495625
3;0.4999166666666667;0.4999166070620219;8.060390922546386;0.4999166666666667;0.4999166666666667;0.5025;0.5024999403953552;8.018752479553223;0.5025;0.5025
4;0.49566666666666664;0.49566660706202187;8.128892823537191;0.49566666666666664;0.49566666666666664;0.50125;0.5012499403953552;8.03890016078949;0.50125;0.50125
5;0.5043333333333333;0.5043332737286885;7.98920268758138;0.5043333333333333;0.5043333333333333;0.495625;0.4956249403953552;8.129564433097839;0.495625;0.495625
6;0.50075;0.5007499403953553;8.046959173202515;0.50075;0.50075;0.505;0.5049999403953552;7.9784572982788085;0.505;0.505
7;0.49925;0.49924994039535525;8.071136328379312;0.49925;0.49925;0.508125;0.5081249403953553;7.928088240623474;0.508125;0.508125
8;0.503;0.5029999403953552;8.010693471272786;0.503;0.503;0.483125;0.48312494039535525;8.331040587425232;0.483125;0.483125
9;0.49566666666666664;0.49566660706202187;8.128892840067545;0.49566666666666664;0.49566666666666664;0.508125;0.5081249403953553;7.928088226318359;0.508125;0.508125
0;0.5025833333333334;0.5025832737286886;0.6943559142748514;0.5025833333333334;0.5025833333333334;0.488125;0.4881249403953552;0.6937545716762543;0.488125;0.488125
1;0.49241666666666667;0.4924166070818901;0.6932901202837626;0.49241666666666667;0.49241666666666667;0.508125;0.5081249403953553;0.6930804705619812;0.508125;0.508125
2;0.489;0.48899994041522343;0.6932906561692556;0.489;0.489;0.503125;0.5031249403953553;0.6931436121463775;0.503125;0.503125
3;0.5065;0.5064999403953552;0.6931692035198211;0.5065;0.5065;0.5025;0.5024999403953552;0.6931637787818908;0.5025;0.5025
4;0.5058333333333334;0.5058332738081615;0.6931660595734914;0.5058333333333334;0.5058333333333334;0.496875;0.49687494039535524;0.6932390379905701;0.496875;0.496875
5;0.5005;0.5004999403953552;0.6932300330797831;0.5005;0.5005;0.5;0.4999999403953552;0.6931721031665802;0.5;0.5
