epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9868333333333333;0.9868333236376444;0.041897061987981946;0.9868333333333333;0.9868333333333333;0.973125;0.9731249797344208;0.08810720631852746;0.973125;0.973125
1;0.9941666666666666;0.9941666614214579;0.014788012680006431;0.9941666666666666;0.9941666666666666;0.9975;0.9974999976158142;0.022757583605125545;0.9975;0.9975
2;0.9963333333333333;0.9963333298365276;0.009981249577720822;0.9963333333333333;0.9963333333333333;0.988125;0.9881249904632569;0.09228576838970184;0.988125;0.988125
3;0.9955;0.9954999959468842;0.013522712610983869;0.9955;0.9955;0.9975;0.9974999976158142;0.004697527890975835;0.9975;0.9975
4;0.9984166666666666;0.9984166652361552;0.004383562179104046;0.9984166666666666;0.9984166666666666;0.585;0.5849999403953552;0.996591083407402;0.585;0.585
5;0.998;0.9979999983310699;0.006055047071064905;0.998;0.998;0.54875;0.5487499403953552;7.273290576934815;0.54875;0.54875
6;0.9973333333333333;0.9973333308696747;0.008011301309074648;0.9973333333333333;0.9973333333333333;0.999375;0.9993749994039536;0.0015337682834851308;0.999375;0.999375
7;0.9985;0.9984999985694886;0.005345027943148618;0.9985;0.9985;0.5675;0.5674999403953552;6.968732898235321;0.5675;0.5675
8;0.9981666666666666;0.9981666650772095;0.006647820120193065;0.9981666666666666;0.9981666666666666;0.435;0.4349999403953552;1.6841340631246566;0.435;0.435
9;0.9986666666666667;0.998666665395101;0.0031850014631135083;0.9986666666666667;0.9986666666666667;0.446875;0.44687494039535525;2.2423090183734895;0.446875;0.446875
10;0.9983333333333333;0.998333331823349;0.004165154051929354;0.9983333333333333;0.9983333333333333;0.99875;0.9987499988079072;0.004016246788839908;0.99875;0.99875
11;0.99725;0.9972499974568685;0.008266117546113018;0.99725;0.99725;0.445625;0.44562494054436685;8.93546923160553;0.445625;0.445625
12;0.9985;0.9984999986489614;0.0038250421687719724;0.9985;0.9985;1.0;1.0;0.00430875142311379;1.0;1.0
13;0.9993333333333333;0.9993333326975504;0.002337032815145468;0.9993333333333333;0.9993333333333333;0.995625;0.9956249958276748;0.011762870898824076;0.995625;0.995625
14;0.9989166666666667;0.9989166656335194;0.0035716007941216502;0.9989166666666667;0.9989166666666667;0.44375;0.4437499403953552;6.887988157272339;0.44375;0.44375
15;1.0;1.0;0.00012510223591916277;1.0;1.0;1.0;1.0;0.00024660167295465385;1.0;1.0
16;0.9993333333333333;0.9993333326975504;0.0018938872621723135;0.9993333333333333;0.9993333333333333;0.431875;0.43187494039535523;5.1886264204978945;0.431875;0.431875
17;0.9996666666666667;0.9996666663487752;0.0013384517121958577;0.9996666666666667;0.9996666666666667;0.76375;0.7637499403953553;0.40732779398560526;0.76375;0.76375
18;0.9986666666666667;0.998666665395101;0.004906927461814235;0.9986666666666667;0.9986666666666667;0.55625;0.5562499403953552;3.319099452495575;0.55625;0.55625
19;0.99975;0.9997499997615814;0.001659178669400376;0.99975;0.99975;0.978125;0.9781249821186065;0.06656193836537568;0.978125;0.978125
