epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9881666666666666;0.9881666576067607;0.03931938504325869;0.9881666666666666;0.9881666666666666;0.999375;0.9993749994039536;0.0026470154034905135;0.999375;0.999375
1;0.9945833333333334;0.9945833283265432;0.015676824663738445;0.9945833333333334;0.9945833333333334;0.994375;0.994374994635582;0.02915581697041418;0.994375;0.994375
2;0.996;0.9959999965031942;0.01203172459621093;0.996;0.996;0.999375;0.9993749994039536;0.0008505142491723916;0.999375;0.999375
3;0.99625;0.9962499967416127;0.012757707014257524;0.99625;0.99625;0.993125;0.9931249940395355;0.019890069735662905;0.993125;0.993125
4;0.9975833333333334;0.9975833310286204;0.0079686552743201;0.9975833333333334;0.9975833333333334;0.995;0.9949999958276748;0.012640875006231908;0.995;0.995
5;0.9985833333333334;0.9985833319822948;0.004675916285321288;0.9985833333333334;0.9985833333333334;1.0;1.0;0.0006457129843138886;1.0;1.0
6;0.9979166666666667;0.9979166648387909;0.006112168586304847;0.9979166666666667;0.9979166666666667;0.965;0.9649999731779099;0.12036807473748923;0.965;0.965
7;0.9975;0.9974999979337057;0.008006518381190006;0.9975;0.9975;0.993125;0.9931249940395355;0.017879941294718264;0.993125;0.993125
8;0.9996666666666667;0.9996666663487752;0.0013811120706651346;0.9996666666666667;0.9996666666666667;0.99875;0.9987499988079072;0.003426252830302445;0.99875;0.99875
9;1.0;1.0;4.0709738366577616e-05;1.0;1.0;0.999375;0.9993749994039536;0.0007998702779127598;0.999375;0.999375
10;1.0;1.0;1.276953070826418e-05;1.0;1.0;1.0;1.0;0.00028900786821296266;1.0;1.0
11;0.9969166666666667;0.9969166642030081;0.01139564447823049;0.9969166666666667;0.9969166666666667;0.9975;0.9974999976158142;0.008366959032532578;0.9975;0.9975
12;0.9988333333333334;0.9988333323001861;0.004953670702414059;0.9988333333333334;0.9988333333333334;0.999375;0.9993749994039536;0.0033618655049710354;0.999375;0.999375
13;0.99925;0.9992499992847442;0.002486226944207734;0.99925;0.99925;0.999375;0.9993749994039536;0.0017752616433955382;0.999375;0.999375
14;0.9979166666666667;0.9979166646798452;0.005469289065476327;0.9979166666666667;0.9979166666666667;0.9975;0.9974999976158142;0.013838869570455188;0.9975;0.9975
