epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.9289166666666666;0.9289166284402212;0.2041285277058681;0.9289166666666666;0.9289166666666666;0.515;0.5149999403953552;7.81727635383606;0.515;0.515
1;0.9698257897857469;0.9698257703249321;0.09504288309625986;0.9698257897857469;0.9698257897857469;0.4925;0.4924999403953552;8.179933471679687;0.4925;0.4925
2;0.9885804784628832;0.988580469574602;0.037985128713484084;0.9885804784628832;0.9885804784628832;0.5226700251889169;0.5226699655842721;7.693650079914544;0.5226700251889169;0.5226700251889169
3;0.9935817287655248;0.9935817232010334;0.019802099370263018;0.9935817287655248;0.9935817287655248;0.51;0.5099999403953552;7.897866802215576;0.51;0.51
4;0.9949153955155455;0.9949153915409089;0.017970024891000413;0.9949153955155455;0.9949153955155455;0.991875;0.9918749928474426;0.027445428527207695;0.991875;0.991875
5;0.9944152704842877;0.9944152661916802;0.02027716187180166;0.9944152704842877;0.9944152704842877;0.5151133501259446;0.5151132905212998;5.667795332613159;0.5151133501259446;0.5151133501259446
6;0.9968325414687005;0.9968325386864548;0.010634504653066344;0.9968325414687005;0.9968325414687005;0.523125;0.5231249403953552;4.787870035171509;0.523125;0.523125
7;0.9979161457030924;0.9979161438747596;0.007043441517929869;0.9979161457030924;0.9979161457030924;0.5113350125944585;0.5113349529898137;7.876348937488623;0.5113350125944585;0.5113350125944585
8;0.9943319163124115;0.9943319117813256;0.01741291662320131;0.9943319163124115;0.9943319163124115;0.508125;0.5081249403953553;7.928088250160218;0.508125;0.508125
9;0.996415770609319;0.9964157678270733;0.010938234638876745;0.996415770609319;0.996415770609319;0.51875;0.5187499403953553;7.756833477020264;0.51875;0.51875
10;0.9993331666249896;0.9993331659890478;0.0018626971778725031;0.9993331666249896;0.9993331666249896;0.9993702770780857;0.9993702764775351;0.002319629271959679;0.9993702770780857;0.9993702770780857
11;1.0;1.0;0.00018842510605552578;1.0;1.0;1.0;1.0;0.00019305171875117822;1.0;1.0
12;1.0;1.0;7.591101383097701e-05;1.0;1.0;0.5547858942065491;0.5547858346019043;1.6947780105869477;0.5547858942065491;0.5547858942065491
13;0.9965;0.9964999971389771;0.010670179717048691;0.9965;0.9965;0.508125;0.5081249403953553;7.928088245391845;0.508125;0.508125
14;0.9977494373593399;0.9977494352925288;0.00781823454182042;0.9977494373593399;0.9977494373593399;0.52;0.5199999403953552;4.0890982830524445;0.52;0.52
15;0.9996665833124948;0.9996665829945238;0.0016779844187196755;0.9996665833124948;0.9996665833124948;1.0;1.0;1.4756901865263031e-05;1.0;1.0
16;0.998082854046845;0.9980828526159758;0.007402646617934064;0.998082854046845;0.998082854046845;0.525625;0.5256249403953552;7.64602153301239;0.525625;0.525625
17;0.9984162707343502;0.9984162692239883;0.005832334200327978;0.9984162707343502;0.9984162707343502;0.5;0.49999994054549285;6.124880908418362;0.5;0.5
18;0.9994998749687422;0.9994998744917858;0.0012666505554307208;0.9994998749687422;0.9994998749687422;0.999375;0.9993749994039536;0.003689856171590691;0.999375;0.999375
19;0.9997499374843711;0.9997499372458929;0.0011491505392864027;0.9997499374843711;0.9997499374843711;1.0;1.0;6.0321212388885214e-05;1.0;1.0
