epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;31753.3962768486;31753.3962768486;1497946.371;1497946.371
1;117731.47860441894;117731.47860441894;718700878757.888;718700878757.888
2;4072330.774956793;4072330.774956793;1385196.38;1385196.38
3;2867517.7270386443;2867517.7270386443;196294.1965;196294.1965
4;1563151.1518548827;1563151.1518548827;1253299.11;1253299.11
5;2676388.2754625;2676388.2754625;4936100.92;4936100.92
6;4363799.191515284;4363799.191515284;37712.99459375;37712.99459375
7;2842363.076;2842363.076;2563652.138;2563652.138
8;5244429.98564375;5244429.98564375;1480727.983;1480727.983
9;4636000.575428467;4636000.575428467;739861.0745;739861.0745
10;8463316.3112;8463316.3112;5350500.424;5350500.424
11;9374293.9999;9374293.9999;10444.6798515625;10444.6798515625
12;10395444.2773;10395444.2773;12451610.76;12451610.76
0;40138.50068163247;40138.50068163247;721.4278203125;721.4278203125
1;89500.80479231688;89500.80479231688;1.6829872722625732;1.6829872722625732
2;139706.68581067963;139706.68581067963;221628.700875;221628.700875
3;270171.1266760254;270171.1266760254;14823.1039140625;14823.1039140625
4;826017.1013345276;826017.1013345276;3958119.022;3958119.022
5;1523610.5500375;1523610.5500375;11206626.424;11206626.424
6;1963875.6567339026;1963875.6567339026;545681.47;545681.47
7;2755457.0830750642;2755457.0830750642;1592274.791;1592274.791
8;4332950.2456;4332950.2456;227616.9235;227616.9235
9;6088067.079473438;6088067.079473438;90513577.472;90513577.472
10;11898643.574601075;11898643.574601075;122132.4564375;122132.4564375
11;10022725.34615;10022725.34615;31966517.2;31966517.2
12;21751644.79822639;21751644.79822639;1955632.533;1955632.533
13;22982679.649858203;22982679.649858203;45231.910625;45231.910625
14;18674553.8196125;18674553.8196125;4054.78825390625;4054.78825390625
15;34294834.00170183;34294834.00170183;58294313.152;58294313.152
16;35055771.214822315;35055771.214822315;10674462.184;10674462.184
17;54444237.862984374;54444237.862984374;6415.8324609375;6415.8324609375
18;132604796.52253477;132604796.52253477;127263480.768;127263480.768
19;34454707.766475;34454707.766475;20745734.912;20745734.912
