epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;962.9319461259842;962.9319461259842;0.3098485790491104;0.3098485790491104
1;1045.5630534427644;1045.5630534427644;180.62909301757813;180.62909301757813
2;1926.4357454803467;1926.4357454803467;4121.0551171875;4121.0551171875
3;5882.6883233459475;5882.6883233459475;67719.120375;67719.120375
4;23319.953758758544;23319.953758758544;24093.688015625;24093.688015625
5;25667.40348828125;25667.40348828125;19860.475046875;19860.475046875
6;33552.67341171875;33552.67341171875;16022.1812265625;16022.1812265625
7;54803.02447492676;54803.02447492676;383.37739208984374;383.37739208984374
8;179762.81794444256;179762.81794444256;738987.4535;738987.4535
9;2580282.919132528;2580282.919132528;32111.8705;32111.8705
10;287684.7532023422;287684.7532023422;2713.695236328125;2713.695236328125
11;510805.2834100586;510805.2834100586;744285.4985;744285.4985
12;1452109.3417;1452109.3417;1940905.784;1940905.784
13;2213859.126490552;2213859.126490552;77500.3238125;77500.3238125
14;809548.9412309448;809548.9412309448;2141817.856;2141817.856
15;2894127.2495465027;2894127.2495465027;1319.2227724609374;1319.2227724609374
16;335117.0887705986;335117.0887705986;966574.0965;966574.0965
17;1369347.47345625;1369347.47345625;1853136.932;1853136.932
18;1852946.9793290948;1852946.9793290948;393159.40075;393159.40075
19;861215.200475;861215.200475;1615716.068;1615716.068
0;514.2398154200554;514.2398154200554;1.434275978088379;1.434275978088379
1;507.59217949047087;507.59217949047087;0.1892881850004196;0.1892881850004196
2;855.7031056453704;855.7031056453704;471.83906634521486;471.83906634521486
3;2958.1578658416747;2958.1578658416747;0.29841380286216734;0.29841380286216734
4;4180.676046598053;4180.676046598053;0.137031093865633;0.137031093865633
5;9712.642404271412;9712.642404271412;25029.83653125;25029.83653125
6;17384.82151279602;17384.82151279602;8912.6464296875;8912.6464296875
7;26622.60706611328;26622.60706611328;363.6499606933594;363.6499606933594
8;40445.25671484375;40445.25671484375;4326.806353515625;4326.806353515625
9;123661.48297712764;123661.48297712764;365.28851953125;365.28851953125
10;86040.81728251954;86040.81728251954;207.34488232421876;207.34488232421876
11;570775.5492997193;570775.5492997193;608335.537;608335.537
12;107887.31246154175;107887.31246154175;58841.81265625;58841.81265625
13;491969.10440646514;491969.10440646514;44.005058624267576;44.005058624267576
14;974791.9909;974791.9909;26.300704772949217;26.300704772949217
15;1664413.0518;1664413.0518;1485.4472421875;1485.4472421875
16;2832100.2132;2832100.2132;3154299.976;3154299.976
17;3995734.2836;3995734.2836;4579731.324;4579731.324
18;5157803.0312;5157803.0312;5738748.3;5738748.3
19;6317951.9512;6317951.9512;6897647.712;6897647.712
