epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;44661.28297544327;44661.28297544327;8326786532799152.0;8326786532799152.0
1;238143.01287920531;238143.01287920531;283775454.208;283775454.208
2;664019.6421753662;664019.6421753662;968668218820395.0;968668218820395.0
3;583114024463.3591;583114024463.3591;4.987130649239952e+23;4.987130649239952e+23
4;426325289.5488;426325289.5488;323612537658540.06;323612537658540.06
5;674963027.9168;674963027.9168;1508019886096.384;1508019886096.384
6;1066344771.4816;1066344771.4816;407201438236.672;407201438236.672
7;2.0438051679856335e+18;2.0438051679856335e+18;1.0970560267644397e+33;1.0970560267644397e+33
8;1632767243609.7024;1632767243609.7024;1.9575635143162158e+24;1.9575635143162158e+24
9;435871255835.4432;435871255835.4432;7.74904079219099e+20;7.74904079219099e+20
10;252923659780.096;252923659780.096;1.29054807962262e+19;1.29054807962262e+19
11;198949142315.008;198949142315.008;3.183610115436283e+17;3.183610115436283e+17
12;195470049373.3888;195470049373.3888;1.3518784343006248e+16;1.3518784343006248e+16
13;166771749627.4944;166771749627.4944;9534891954773426.0;9534891954773426.0
14;226728178653.184;226728178653.184;9737183973817188.0;9737183973817188.0
15;216929658907.8528;216929658907.8528;4116139211575263.0;4116139211575263.0
16;201040388658.7904;201040388658.7904;2072157775512731.8;2072157775512731.8
17;223628898877.44;223628898877.44;719602366856298.5;719602366856298.5
18;210801500429.5168;210801500429.5168;683155371556077.6;683155371556077.6
19;211899622877.5936;211899622877.5936;509256719612772.4;509256719612772.4
0;9459997734871.285;9459997734871.285;37418478063321.086;37418478063321.086
1;684562838.272;684562838.272;344314162970.624;344314162970.624
2;200772782.0224;200772782.0224;89341870669.824;89341870669.824
3;130777671.4848;130777671.4848;18566077104.128;18566077104.128
4;122247218.7228;122247218.7228;15929060925.44;15929060925.44
5;187796015.1208;187796015.1208;4587565426.688;4587565426.688
6;177463718.3821;177463718.3821;1903109551.104;1903109551.104
7;417210881.0584;417210881.0584;3567216467.968;3567216467.968
8;676255918.2944;676255918.2944;449992975.104;449992975.104
9;1216771751.3216;1216771751.3216;1807331759.104;1807331759.104
10;1765923654.8608;1765923654.8608;5562472210.432;5562472210.432
11;3288688491.1104;3288688491.1104;6955359240.192;6955359240.192
12;25047447561.97245;25047447561.97245;135705889013.76;135705889013.76
13;4250021770.3424;4250021770.3424;22171786592.256;22171786592.256
14;22496621800288.832;22496621800288.832;1.5300136213383934e+23;1.5300136213383934e+23
15;398670727.5472;398670727.5472;3.829728115194258e+17;3.829728115194258e+17
16;543123460.0184;543123460.0184;854969253621661.8;854969253621661.8
17;1229635237.2736;1229635237.2736;22581393766744.062;22581393766744.062
18;1955442040.9344;1955442040.9344;227860012990.464;227860012990.464
19;2635918753.3824;2635918753.3824;128961432322.048;128961432322.048
