epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;nan;nan;nan;nan
1;nan;nan;nan;nan
2;nan;nan;nan;nan
3;nan;nan;nan;nan
4;nan;nan;nan;nan
0;242640.0723926034;242640.0723926034;5.403490998881025e+20;5.403490998881025e+20
1;nan;nan;nan;nan
2;nan;nan;nan;nan
3;nan;nan;nan;nan
4;nan;nan;nan;nan
5;nan;nan;nan;nan
6;nan;nan;nan;nan
7;nan;nan;nan;nan
8;nan;nan;nan;nan
9;nan;nan;nan;nan
10;nan;nan;nan;nan
11;nan;nan;nan;nan
12;nan;nan;nan;nan
13;nan;nan;nan;nan
14;nan;nan;nan;nan
15;nan;nan;nan;nan
