epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;5347.046482819748;5347.046482819748;116090185.728;116090185.728
1;29772.726208774184;29772.726208774184;2.35519797706604;2.35519797706604
2;10230.655323308945;10230.655323308945;210568.00875;210568.00875
3;31487.21410532837;31487.21410532837;5.270916516304016;5.270916516304016
4;72551.42386634827;72551.42386634827;2.084131419658661;2.084131419658661
5;111959.8595375061;111959.8595375061;53221.8455;53221.8455
6;156838.40377559204;156838.40377559204;4396.913806152344;4396.913806152344
7;277063.3856828125;277063.3856828125;2494124.952;2494124.952
8;1507622.3079486815;1507622.3079486815;117311.164;117311.164
0;3165.2290800733567;3165.2290800733567;29977.1850703125;29977.1850703125
1;15018.005370511628;15018.005370511628;5865168.462;5865168.462
2;44706.5000015625;44706.5000015625;5031.337673828125;5031.337673828125
3;84532.10824282227;84532.10824282227;16224.91121875;16224.91121875
4;183425.2997589386;183425.2997589386;1615385.469;1615385.469
5;257119.89288355713;257119.89288355713;144950.2281875;144950.2281875
6;603959.1832271485;603959.1832271485;87.87528997802734;87.87528997802734
7;647890.260136206;647890.260136206;17325.8793359375;17325.8793359375
8;6599578.647647071;6599578.647647071;62457792.736;62457792.736
9;16958793632.9622;16958793632.9622;158266884.224;158266884.224
10;24006189.88325;24006189.88325;1085075362.304;1085075362.304
11;203283056.05155;203283056.05155;124939467.744;124939467.744
12;179494323.0011125;179494323.0011125;36516526.32;36516526.32
13;45524586.184975;45524586.184975;17680749.936;17680749.936
14;61690264.73325;61690264.73325;108824241.968;108824241.968
15;46313345.639;46313345.639;112436447.36;112436447.36
16;128268839.2532;128268839.2532;59835781.76;59835781.76
17;135693440.8925;135693440.8925;1483463290.88;1483463290.88
18;954277847.7494;954277847.7494;2142918153.216;2142918153.216
19;354833782.90405;354833782.90405;16646975.712;16646975.712
