epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;114.70218684632182;114.70218684632182;41.60798497772217;41.60798497772217
1;146.483002537179;146.483002537179;24237.256762695313;24237.256762695313
2;160.91821978565454;160.91821978565454;251977.0430625;251977.0430625
3;218.03718264553547;218.03718264553547;9554.069385116578;9554.069385116578
4;74731.41610353842;74731.41610353842;206.36148129272462;206.36148129272462
5;5567047.588330665;5567047.588330665;704.10528125;704.10528125
6;6548.110159742737;6548.110159742737;24538.704421875;24538.704421875
7;21464089.214506745;21464089.214506745;16234.5296484375;16234.5296484375
8;4.7982662584929626e+17;4.7982662584929626e+17;inf;inf
9;1171961495146224.0;1171961495146224.0;43860724.512;43860724.512
10;1086165915.776;1086165915.776;2093805322.24;2093805322.24
11;3055282548.9408;3055282548.9408;4028274001.92;4028274001.92
0;123.78262196326256;123.78262196326256;170896.32796875;170896.32796875
1;159.13958316681385;159.13958316681385;0.41584590178728104;0.41584590178728104
2;643.1515097764016;643.1515097764016;15315446349.824;15315446349.824
3;151455339622.5739;151455339622.5739;1047980.787;1047980.787
4;13570241.4488;13570241.4488;142380478.464;142380478.464
5;1306335219658583.5;1306335219658583.5;5517.323671875;5517.323671875
6;104844960.82440557;104844960.82440557;216884115.328;216884115.328
7;315295345.8432;315295345.8432;422828946.432;422828946.432
8;531010416.0256;531010416.0256;651458341.376;651458341.376
9;760704571.392;760704571.392;891391740.928;891391740.928
10;1010409749.7088;1010409749.7088;1144649470.976;1144649470.976
11;1287753998.5408;1287753998.5408;1462955893.76;1462955893.76
12;1597071883.6736;1597071883.6736;1775057783.808;1775057783.808
13;1961074782.0032;1961074782.0032;2181549029.376;2181549029.376
14;2390414105.3952;2390414105.3952;2643779962.88;2643779962.88
15;2930558234.624;2930558234.624;3251923611.648;3251923611.648
16;3622795784.6016;3622795784.6016;4026751848.448;4026751848.448
17;4579995167.5392;4579995167.5392;5257771565.056;5257771565.056
18;6119467827.2;6119467827.2;7086059745.28;7086059745.28
19;8849084339.8144;8849084339.8144;11218360107.008;11218360107.008
