epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.918;0.9174028636813164;0.2018679551859386;0.9199875462651252;0.9150833333333334;0.379375;0.37937494069337846;9.79637454509735;0.379375;0.379375
1;0.9838333333333333;0.9842069749037424;0.04589690925131436;0.9852277777989705;0.98325;0.364375;0.3643749405443668;10.245064377784729;0.364375;0.364375
2;0.989;0.9891128945350647;0.03566146856532335;0.9893222222328186;0.9889166666666667;0.678125;0.6781249403953552;4.874637907445431;0.678125;0.678125
3;0.9951666666666666;0.995327952226003;0.01435638292710064;0.9955;0.9951666666666666;0.610625;0.6106249403953552;6.220284640789032;0.610625;0.610625
4;0.9926666666666667;0.9926935413678487;0.02470894216277035;0.9930777777830759;0.9923333333333333;0.62;0.6199999403953552;6.124876384735107;0.62;0.62
5;0.9950833333333333;0.9950833288828532;0.015215796702180038;0.9950833333333333;0.9950833333333333;0.61875;0.6187499403953552;6.119214541912079;0.61875;0.61875
6;0.9965833333333334;0.9965806418259938;0.012753099510610204;0.9966666666666667;0.9965;0.594375;0.5943749403953552;6.455389776229858;0.594375;0.594375
7;0.9954166666666666;0.9954139744440714;0.01735983292869696;0.9955;0.9953333333333333;0.540625;0.5406249403953552;7.200416297912597;0.540625;0.540625
8;0.9968333333333333;0.9968736531734467;0.010309653378665644;0.9969166666666667;0.9968333333333333;0.3975;0.39749994069337846;9.681995630264282;0.3975;0.3975
9;0.9974166666666666;0.9974973092873891;0.008022779638281312;0.9975833333333334;0.9974166666666666;0.52875;0.5287499403953553;7.508706159591675;0.52875;0.52875
10;0.997;0.9971209649244944;0.009835161812209966;0.99725;0.997;0.476875;0.4768749403953552;8.40707326889038;0.476875;0.476875
11;0.9966666666666667;0.996666663646698;0.01222050168712959;0.9966666666666667;0.9966666666666667;0.55625;0.5562499403953552;7.050651745796204;0.55625;0.55625
12;0.999;0.99895698817571;0.004057386382544867;0.999;0.9989166666666667;0.6325;0.6324999403953552;5.923400082588196;0.6325;0.6325
13;0.9959166666666667;0.9959489204088847;0.01350205404383638;0.99625;0.9956666666666667;0.641875;0.6418749403953552;5.638128385543824;0.641875;0.641875
14;0.9980833333333333;0.9980806431770325;0.0069749224150791635;0.9981666666666666;0.998;0.629375;0.6293749403953552;5.965065081119537;0.629375;0.629375
15;0.9996666666666667;0.9997069888909658;0.0013627246934850065;0.99975;0.9996666666666667;0.643125;0.6431249403953552;5.74668788433075;0.643125;0.643125
16;0.998;0.9979999981721243;0.0054642883540300695;0.998;0.998;0.646875;0.6468749403953552;5.691727533340454;0.646875;0.646875
17;0.9983333333333333;0.9983736544450124;0.00910217861751183;0.9984166666666666;0.9983333333333333;0.495;0.4949999403953552;7.829106979370117;0.495;0.495
18;0.9999166666666667;0.9999166665871938;0.00036598373176301873;0.9999166666666667;0.9999166666666667;0.641875;0.6418749403953552;5.667509844303131;0.641875;0.641875
19;0.9974166666666666;0.9974166645208995;0.008497354655015651;0.9974166666666666;0.9974166666666666;0.35625;0.3562499405443668;10.376023979187012;0.35625;0.35625
