epoch;acc;f1_m;loss;precision_m;recall_m;val_acc;val_f1_m;val_loss;val_precision_m;val_recall_m
0;0.7555;0.7486790504058202;0.9149273242751758;0.770981074889501;0.7315833333333334;0.3475;0.34749994054436684;10.517057242393493;0.3475;0.3475
1;0.7125833333333333;0.7066083385149637;1.2095073495705921;0.7260346413850784;0.6903333333333334;0.188125;0.18812494322657586;13.085878705978393;0.188125;0.188125
2;0.7723333333333333;0.7688700951933861;0.6152711583773295;0.7831264137625694;0.757;0.270625;0.2706249411404133;11.756135787963867;0.270625;0.270625
3;0.7986666666666666;0.7972053292195003;0.42955206698179244;0.8034100142717362;0.7915;0.303125;0.3031249414384365;11.232297682762146;0.303125;0.303125
4;0.8595;0.8593725566069285;0.3082643050899108;0.8634649582703908;0.8555833333333334;0.286875;0.28687494099140165;11.494216780662537;0.286875;0.286875
5;0.8095833333333333;0.809711052219073;0.8172827312250932;0.8143269857962926;0.8054166666666667;0.35375;0.3537499405443668;10.416319184303283;0.35375;0.35375
6;0.8755;0.8750888368288676;0.6520236035622656;0.8797746041615804;0.87075;0.3775;0.3774999403953552;10.033514404296875;0.3775;0.3775
7;0.93225;0.9320691338380178;0.4850530222572076;0.9347380955219269;0.9295833333333333;0.365;0.36499994054436685;10.234990615844726;0.365;0.365
8;0.92575;0.9256884833971659;0.712904425993717;0.9292111116250356;0.9224166666666667;0.346875;0.34687494054436685;10.527131032943725;0.346875;0.346875
9;0.8639166666666667;0.8619115229050318;0.9891679999286619;0.8694414771000544;0.8553333333333333;0.36125;0.3612499405443668;10.295433459281922;0.36125;0.36125
10;0.7766666666666666;0.7754968924125035;0.8715739964942137;0.7814853503306707;0.77;0.28;0.27999994084239005;11.605028681755066;0.28;0.28
11;0.9301666666666667;0.930002468029658;0.18075969463369498;0.9347412703831991;0.9255833333333333;0.191875;0.1918749438226223;13.025435843467712;0.191875;0.191875
12;0.94725;0.9473126882712046;0.13912322933661442;0.9518007938067118;0.9431666666666667;0.305;0.3049999403953552;11.202076253890992;0.305;0.305
13;0.9694166666666667;0.9696209426720938;0.09255877508147387;0.971972222328186;0.9674166666666667;0.353125;0.3531249405443668;10.42639295578003;0.353125;0.353125
